vin,year,model,color,miles,trim,price,interior,features,country,currency,availability,sold_date
5YJYGAEEXMF159365,2021,my,SILVER,16901,Model Y Long Range Dual Motor All-Wheel Drive,77600,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Induction Wheels;All Black Premium Interior;Full Self-Driving Capability;Seven Seat Interior;Tow Hitch;Acceleration Boost;,US,USD,available,8/31/2022
5YJXCBE25JF142746,2018,mx,BLACK,72459,75D All-Wheel Drive,74700,BLACK,"Solid Black Paint;20"" Silver Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Six Seat Interior;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,sold,8/26/2022
5YJ3E1EBXKF469521,2019,m3,WHITE,38053,Model 3 Long Range All-Wheel Drive,58300,PREMIUM_WHITE,Pearl White Paint;18’’ Aero Wheels;Black and White Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/26/2022
5YJXCBE49KF197171,2019,mx,WHITE,31047,Model X Performance All-Wheel Drive,96900,WHITE,"Pearl White Multi-Coat;20"" Silver Wheels;Black and White Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Ludicrous Mode;Six Seat Interior;Infotainment Upgrade;",US,USD,sold,8/26/2022
5YJ3E1EA4MF070677,2021,m3,WHITE,4910,Model 3 Standard Range Plus Rear-Wheel Drive,56400,PREMIUM_BLACK,Pearl White Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/26/2022
5YJYGDEE4LF033325,2020,my,SILVER,50733,Model Y Long Range All-Wheel Drive,61000,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Induction Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;Tow Hitch;Acceleration Boost;,US,USD,sold,8/26/2022
5YJSA1E64MF437144,2021,ms,WHITE,2719,Model S Plaid,121000,BLACK,"Pearl White Multi-Coat;21"" Arachnid Wheels;All Black Premium Interior with Ebony Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,available,8/26/2022
5YJ3E1EA3KF436173,2019,m3,BLACK,21691,Model 3 Standard Range Plus Rear-Wheel Drive,48000,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/26/2022
5YJYGDEE8MF174237,2021,my,WHITE,23579,Model Y Long Range All-Wheel Drive,71000,PREMIUM_WHITE,Pearl White Paint;20’’ Induction Wheels;Black and White Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,available,8/26/2022
5YJ3E1EC7LF623757,2020,m3,GRAY,15737,Model 3 Long Range All-Wheel Drive Performance,63800,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Gray Performance Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/26/2022
5YJ3E1EC6MF936252,2021,m3,GRAY,43533,Model 3 Performance Dual Motor All-Wheel Drive,61000,PREMIUM_WHITE,Midnight Silver Metallic Paint;20’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/26/2022
5YJYGDEE4LF010966,2020,my,SILVER,25501,Model Y Long Range All-Wheel Drive,69900,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Induction Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,sold,8/26/2022
5YJ3E1EA2LF613863,2020,m3,WHITE,28971,Model 3 Standard Range Plus Rear-Wheel Drive,48400,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/26/2022
5YJYGDEF0MF246668,2021,my,RED,4138,Model Y Performance Dual Motor All-Wheel Drive,81400,PREMIUM_WHITE,Red Multi-Coat Paint;21’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,sold,8/26/2022
5YJYGDEE9MF261807,2021,my,WHITE,11934,Model Y Long Range Dual Motor All-Wheel Drive,74200,PREMIUM_WHITE,Pearl White Paint;20’’ Induction Wheels;Black and White Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,available,8/26/2022
5YJYGDEE6LF048201,2020,my,WHITE,19063,Model Y Long Range All-Wheel Drive,60900,PREMIUM_BLACK,Pearl White Paint;19’’ Gemini Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,sold,8/26/2022
5YJ3E1EB4KF393729,2019,m3,WHITE,44556,Model 3 Long Range All-Wheel Drive Performance,57400,PREMIUM_WHITE,Pearl White Paint;20’’ Performance Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJSA1E64MF451433,2021,ms,WHITE,6621,Model S Plaid,127600,WHITE,"Pearl White Multi-Coat;21"" Arachnid Wheels;Black and White Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,sold,8/25/2022
5YJSA1E51MF429624,2021,ms,BLUE,3917,Model S Long Range,111900,CREAM,"Deep Blue Metallic;19"" Tempest Wheels;Cream Premium Interior with Walnut Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJ3E1EB6LF599622,2020,m3,BLACK,43825,Model 3 Long Range All-Wheel Drive,56500,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJ3E1EB0JF181229,2018,m3,WHITE,19205,Model 3 Long Range All-Wheel Drive,60400,PREMIUM_WHITE,Pearl White Paint;19’’ Sport Wheels;Black and White Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJ3E1EA4KF326782,2019,m3,GRAY,16097,Model 3 Long Range Rear-Wheel Drive,54000,PREMIUM_BLACK,Midnight Silver Metallic Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJYGDEE8MF240379,2021,my,BLUE,4433,Model Y Long Range Dual Motor All-Wheel Drive,79200,PREMIUM_WHITE,Deep Blue Metallic Paint;20’’ Induction Wheels;Black and White Premium Interior;Full Self-Driving Capability;Five Seat Interior;Acceleration Boost;,US,USD,available,8/25/2022
5YJ3E1EC6NF175756,2022,m3,WHITE,3576,Model 3 Performance Dual Motor All-Wheel Drive,72600,PREMIUM_BLACK,Pearl White Paint;20’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJSA1E25KF332543,2019,ms,BLACK,20325,Model S Long Range All-Wheel Drive,80100,BLACK,"Solid Black;19"" Sonic Carbon Slipstream Wheels;All Black Premium Interior with Figured Ash Wood Décor;Full Self-Driving Capability;Glass Roof;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJ3E1EA2JF025703,2018,m3,GRAY,34202,Model 3 Long Range Rear-Wheel Drive,49000,PREMIUM_BLACK,Midnight Silver Metallic Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJXCAE43LF283099,2020,mx,BLACK,10196,Model X Performance All-Wheel Drive,119400,WHITE,"Solid Black;20"" Silver Wheels;Black and White Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Ludicrous Mode;Seven Seat Interior;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJ3E1EA1KF302679,2019,m3,GRAY,18108,Model 3 Standard Range Plus Rear-Wheel Drive,48700,PREMIUM_WHITE,Midnight Silver Metallic Paint;19’’ Sport Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJ3E1ECXLF586820,2020,m3,BLUE,11674,Model 3 Long Range All-Wheel Drive Performance,60300,PREMIUM_BLACK,Deep Blue Metallic Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJYGAEE0MF196165,2021,my,BLUE,23726,Model Y Long Range Dual Motor All-Wheel Drive,73700,PREMIUM_BLACK,Deep Blue Metallic Paint;19’’ Gemini Wheels;All Black Premium Interior;Full Self-Driving Capability;Seven Seat Interior;Tow Hitch;Acceleration Boost;,US,USD,sold,8/25/2022
5YJ3E1EA5KF486847,2019,m3,WHITE,14703,Model 3 Standard Range Plus Rear-Wheel Drive,51800,PREMIUM_WHITE,Pearl White Paint;19’’ Sport Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJ3E1EC8MF056556,2021,m3,WHITE,7982,Model 3 Performance Dual Motor All-Wheel Drive,71800,PREMIUM_WHITE,Pearl White Paint;20’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJ3E1EB3JF103303,2018,m3,BLACK,25059,Model 3 Long Range All-Wheel Drive,58700,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJYGDEF7MF269767,2021,my,SILVER,15363,Model Y Performance Dual Motor All-Wheel Drive,73600,PREMIUM_WHITE,Midnight Silver Metallic Paint;21’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,sold,8/25/2022
5YJXCBE26JF103681,2018,mx,WHITE,37607,75D All-Wheel Drive,79300,BLACK_TEXTILE,"Pearl White Multi-Coat Paint;22"" Onyx Black Wheels;Black Textile Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Six Seat Interior;Dark Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJSA1E64MF443719,2021,ms,RED,6473,Model S Plaid,116400,CREAM,"Red Multi-Coat;19"" Tempest Wheels;Cream Interior with Carbon Fiber Decor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,sold,8/25/2022
5YJSA1E2XLF360484,2020,ms,GREY,51093,Model S Long Range All-Wheel Drive,79000,BLACK,Midnight Silver Metallic;19’’ Silver Wheels;All Black Premium Interior with Figured Ash Wood Décor;Full Self-Driving Capability;Glass Roof;Infotainment Upgrade;,US,USD,available,8/25/2022
5YJSA1E25JF291149,2018,ms,BLACK,45522,100D Long Range All-Wheel Drive,74800,BLACK,"Solid Black Paint;21"" Sonic Carbon Twin Turbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Sunroof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Carbon Fiber Décor;Dark Headliner;Infotainment Upgrade;",US,USD,sold,8/25/2022
5YJSA1E60MF455866,2021,ms,BLACK,7340,Model S Plaid,119000,BLACK,"Solid Black;19"" Tempest Wheels;All Black Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJXCDE44JF141956,2018,mx,WHITE,24283,100D Ludicrous Performance All-Wheel Drive,87500,WHITE,"Pearl White Multi-Coat Paint;20"" Silver Wheels;Black and White Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Red Brake Calipers;Five Seat Interior;Dark Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,sold,8/25/2022
5YJSA1E25KF332817,2019,ms,GREY,26824,Model S Long Range All-Wheel Drive,85300,BLACK,Midnight Silver Metallic;19’’ Silver Wheels;All Black Premium Interior with Figured Ash Wood Décor;Full Self-Driving Capability;Glass Roof;Infotainment Upgrade;,US,USD,available,8/25/2022
5YJ3E1EB4JF088584,2018,m3,BLUE,26321,Model 3 Long Range All-Wheel Drive,55800,PREMIUM_BLACK,Deep Blue Metallic Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJYGAEE1MF144544,2021,my,BLUE,25253,Model Y Long Range Dual Motor All-Wheel Drive,71200,PREMIUM_WHITE,Deep Blue Metallic Paint;20’’ Induction Wheels;Black and White Premium Interior;Full Self-Driving Capability;Seven Seat Interior;Acceleration Boost;,US,USD,available,8/25/2022
5YJXCBE43LF300196,2020,mx,GREY,27885,Model X Performance All-Wheel Drive,108400,BLACK,"Midnight Silver Metallic;22"" Onyx Black Wheels;All Black Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Ludicrous Mode;Six Seat Interior;Infotainment Upgrade;",US,USD,sold,8/25/2022
5YJ3E1EA0JF165085,2018,m3,WHITE,27025,Model 3 Mid Range Rear-Wheel Drive,44400,PREMIUM_BLACK,Pearl White Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJ3E1EB6KF432708,2019,m3,GRAY,25377,Model 3 Long Range All-Wheel Drive Performance,55500,PREMIUM_BLACK,Midnight Silver Metallic Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJ3E1EB1KF440490,2019,m3,RED,20136,Model 3 Long Range All-Wheel Drive Performance,56200,PREMIUM_BLACK,Red Multi-Coat Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/25/2022
5YJ3E1EC3LF602260,2020,m3,WHITE,25533,Model 3 Long Range All-Wheel Drive Performance,62000,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
5YJXCDE20JF104126,2018,mx,BLACK,27807,75D All-Wheel Drive,73800,WHITE,"Solid Black Paint;20"" Silver Wheels;White Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Towing Package;Keyless Entry;Power Liftgate;Five Seat Interior;Dark Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJYGDEF0LF038918,2020,my,SILVER,27525,Model Y Long Range All-Wheel Drive Performance,67600,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Induction Wheels;All Black Premium Interior;Full Self-Driving Capability;Five Seat Interior;Carbon Fiber Spoiler;,US,USD,sold,8/25/2022
5YJSA1E57MF440207,2021,ms,WHITE,14299,Model S Long Range,102500,BLACK,"Pearl White Multi-Coat;19"" Tempest Wheels;All Black Premium Interior with Ebony Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,available,8/25/2022
5YJ3E1EA8MF018999,2021,m3,BLACK,12129,Model 3 Standard Range Plus Rear-Wheel Drive,58400,PREMIUM_WHITE,Solid Black Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/25/2022
7SAYGDEF9NF377151,2022,my,RED,6148,Model Y Performance Dual Motor All-Wheel Drive,79400,PREMIUM_WHITE,Red Multi-Coat Paint;21’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Tow Hitch;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,available,8/25/2022
5YJ3E1EA2KF449416,2019,m3,GRAY,32768,Model 3 Standard Range Plus Rear-Wheel Drive,47800,PREMIUM_BLACK,Midnight Silver Metallic Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EB9KF422139,2019,m3,WHITE,28432,Model 3 Long Range All-Wheel Drive Performance,60500,PREMIUM_WHITE,Pearl White Paint;20’’ Performance Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EAXKF331498,2019,m3,RED,31776,Model 3 Long Range Rear-Wheel Drive,50800,PREMIUM_BLACK,Red Multi-Coat Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJSA1E69MF451928,2021,ms,RED,10309,Model S Plaid,112300,CREAM,"Red Multi-Coat;19"" Tempest Wheels;Cream Interior with Carbon Fiber Decor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,available,8/24/2022
5YJ3E1EA1KF422742,2019,m3,RED,35330,Model 3 Standard Range Plus Rear-Wheel Drive,44500,PREMIUM_BLACK,Red Multi-Coat Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA4NF117756,2022,m3,BLACK,4809,Model 3 Rear-Wheel Drive,59100,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJXCAE27GF027116,2016,mx,WHITE,54290,90D All-Wheel Drive,75400,BLACK,"Pearl White Multi-Coat Paint;22"" Silver Turbine Wheels;Black Leather Seats;Full Self-Driving Capability;Smart Air Suspension;HEPA Air Filtration System;Towing Package;Keyless Entry;Power Liftgate;Seven Seat Interior;Dark Ash Wood Décor;Black Headliner;Infotainment Upgrade;",US,USD,sold,8/24/2022
5YJSA1E21KF302178,2019,ms,GREY,41188,75D All-Wheel Drive,69700,BLACK,"Midnight Silver Metallic Paint;19"" Silver Slipstream Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Glass Roof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Carbon Fiber Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/24/2022
5YJ3E1EB3MF965361,2021,m3,WHITE,12015,Model 3 Long Range All-Wheel Drive,68600,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJSA1E27JF284865,2018,ms,BLUE,28673,100D Long Range All-Wheel Drive,79400,BLACK,"Deep Blue Metallic Paint;19"" Sonic Carbon Slipstream Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Sunroof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/24/2022
5YJ3E1EC5LF713442,2020,m3,GRAY,14520,Model 3 Long Range All-Wheel Drive Performance,65400,PREMIUM_BLACK,Midnight Silver Metallic Paint;20’’ Gray Performance Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA4KF401917,2019,m3,GRAY,35372,Model 3 Standard Range Plus Rear-Wheel Drive,44000,PREMIUM_BLACK,Midnight Silver Metallic Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJXCBE25JF139278,2018,mx,BLACK,23317,100D Long Range All-Wheel Drive,86600,CREAM,"Solid Black Paint;20"" Silver Wheels;Cream Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Six Seat Interior;Oak Décor;Light Headliner;Infotainment Upgrade;",US,USD,sold,8/24/2022
5YJ3E1EAXKF352738,2019,m3,BLACK,31099,Model 3 Standard Range Plus Rear-Wheel Drive,44700,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJYGDEF2MF079116,2021,my,RED,17852,Model Y Performance Dual Motor All-Wheel Drive,71100,PREMIUM_WHITE,Red Multi-Coat Paint;21’’ Überturbine Wheels;Black and White Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Tow Hitch;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,sold,8/24/2022
5YJ3E1EA6JF050359,2018,m3,BLACK,54937,Model 3 Long Range Rear-Wheel Drive,44800,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJSA1E62MF451298,2021,ms,BLUE,19552,Model S Plaid,111200,BLACK,"Deep Blue Metallic;19"" Tempest Wheels;All Black Premium Interior with Carbon Fiber Décor;Full Self-Driving Capability;Infotainment Upgrade;",US,USD,sold,8/24/2022
5YJ3E1EA9LF590355,2020,m3,GRAY,49845,Model 3 Standard Range Plus Rear-Wheel Drive,44800,PREMIUM_BLACK,Midnight Silver Metallic Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EB4LF638921,2020,m3,BLACK,13012,Model 3 Long Range All-Wheel Drive,64800,PREMIUM_WHITE,Solid Black Paint;18’’ Aero Wheels;Black and White Premium Interior;Full Self-Driving Capability;Acceleration Boost;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA8KF486518,2019,m3,WHITE,32138,Model 3 Standard Range Plus Rear-Wheel Drive,45000,PREMIUM_WHITE,Pearl White Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EA0LF599042,2020,m3,WHITE,39553,Model 3 Standard Range Plus Rear-Wheel Drive,47200,PREMIUM_WHITE,Pearl White Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA9KF427154,2019,m3,BLUE,27988,Model 3 Standard Range Plus Rear-Wheel Drive,45700,PREMIUM_BLACK,Deep Blue Metallic Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EA1KF417024,2019,m3,BLACK,36042,Model 3 Standard Range Plus Rear-Wheel Drive,47100,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA0KF413093,2019,m3,RED,29617,Model 3 Standard Range Plus Rear-Wheel Drive,45800,PREMIUM_WHITE,Red Multi-Coat Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EA4KF484023,2019,m3,WHITE,31499,Model 3 Standard Range Plus Rear-Wheel Drive,46500,PREMIUM_BLACK,Pearl White Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA1KF398801,2019,m3,BLACK,33444,Model 3 Standard Range Plus Rear-Wheel Drive,46300,PREMIUM_BLACK,Solid Black Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EA9KF436114,2019,m3,BLUE,31307,Model 3 Standard Range Plus Rear-Wheel Drive,45400,PREMIUM_BLACK,Deep Blue Metallic Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJ3E1EA9KF413237,2019,m3,WHITE,6704,Model 3 Standard Range Plus Rear-Wheel Drive,46700,PREMIUM_WHITE,Pearl White Paint;19’’ Sport Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,available,8/24/2022
5YJ3E1EA0KF413160,2019,m3,WHITE,27949,Model 3 Standard Range Plus Rear-Wheel Drive,45000,PREMIUM_WHITE,Pearl White Paint;18’’ Aero Wheels;Black and White Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJXCBE41JF125458,2018,mx,BLACK,37041,100D Ludicrous Performance All-Wheel Drive,94700,BLACK,"Solid Black Paint;20"" Sonic Carbon Wheels;All Black Premium Interior;Full Self-Driving Capability;Smart Air Suspension;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Towing Package;Keyless Entry;Power Liftgate;Red Brake Calipers;Six Seat Interior;Figured Ash Wood Décor;Dark Headliner;Infotainment Upgrade;",US,USD,available,8/24/2022
5YJ3E1EA7KF476210,2019,m3,BLUE,35214,Model 3 Standard Range Plus Rear-Wheel Drive,44800,PREMIUM_BLACK,Deep Blue Metallic Paint;18’’ Aero Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJXCBE22KF184972,2019,mx,WHITE,32936,Model X Long Range All-Wheel Drive,102100,WHITE,"Pearl White Multi-Coat;22"" Onyx Black Wheels;Black and White Premium Interior with Dark Ash Wood Décor;Full Self-Driving Capability;Six Seat Interior;Infotainment Upgrade;",US,USD,available,8/24/2022
5YJ3E1EA4KF357515,2019,m3,BLACK,29632,Model 3 Standard Range Plus Rear-Wheel Drive,44600,PREMIUM_BLACK,Solid Black Paint;19’’ Sport Wheels;All Black Partial Premium Interior;Full Self-Driving Capability;Front and Rear Heated Seats;,US,USD,sold,8/24/2022
5YJYGDEF4LF001161,2020,my,BLUE,45388,Model Y Long Range All-Wheel Drive Performance,64200,PREMIUM_BLACK,Deep Blue Metallic Paint;21’’ Überturbine Wheels;All Black Premium Interior;Full Self-Driving Capability;Performance Upgrade;Five Seat Interior;Carbon Fiber Spoiler;Performance Pedals;Performance Brakes;,US,USD,available,8/24/2022
5YJSA1E26JF244678,2018,ms,BLACK,35787,75D All-Wheel Drive,71200,BLACK_TEXTILE,"Solid Black Paint;19"" Silver Slipstream Wheels;Black Textile Interior;Full Self-Driving Capability;Smart Air Suspension;Glass Roof;Ultra High Fidelity Sound;HEPA Air Filtration System;Subzero Weather Package;Keyless Entry;Power Liftgate;GPS Enabled Homelink;Dark Ash Wood Décor;Dark Headliner;",US,USD,sold,8/24/2022
